Id,Name,SpellId,DefaultEffect,PassEffect,FailEffect,DrawOnFail,Enabled,Origin
10,Bind Monster 4,2,,"The air fills with electricity as unseen forces clamp down on the creature. The monster is stunned. Then discard this card and draw a new ""Bind Monster"" Spell card.","In a moment of panic, you completely forget how to cast the spell. Discard this card (do not draw a replacement).",0,1,
23,Blood Pact 5,4,,"After the spell takes effect, it quickly dissipates.","Your face grows eerily pale and the room seems to be spinning. Discard this card, do NOT draw a replacement.",0,1,
1,Arcane Insight 1,1,A strange compulsion to acton incomplete knowledge drives you (Lore; 2). ,You resist your insistent mind; no additional effect.,"You begin to execute a plan, only to realize it ends in your death; become Mesmerized.",1,1,
2,Arcane Insight 2,1,Further knowledge is just beyond your reach (Lore; 2).,You use the lingering power of the spell to gain new knowledge; you or another investigator within range gains 1 Clue. ,The fleeting moment passes; no additional effect.,1,1,
3,Arcane Insight 3,1,A strange voice whispers secrets of the future into your mind (Lore; 3).,You interpret fact from fiction; you or another investigator within range gains 1 Clue.,You are disturbed by the voice's strange prophecies; become Mesmerized.,1,1,
4,Arcane Insight 4,1,An alien mind greater than your own attempts to subsume you (Lore; 3).,You use the opportunity to learn all it will impart; you or another investigator within range becomes Focused.,You cannot push the mind out; become Mesmerized.,1,1,
7,Bind Monster 1,2,,You execute the spell adeptly and are able to cast it without breaking your stride. The monster is stunned. You may move 1 space.,"At the last moment, your enemy twists its body, evading the magical contaimnent. The keeper may move the monster 1 space.",1,1,
8,Bind Monster 2,2,,The perfectly formed binding takes hold and starts to crush the monster with unseen viciousness. The monster takes 2 damage and is stunned.,A mispmnunciation causes the spell to backfire. You feel the force ofa giant sledgehammer knock you to the floor. Take I damage and I horror.,1,1,
9,Bind Monster 3,2,,Arcane energies surge through your body. The rush of power is both frightening and intoxicating. All monsters in this room are stunned. Take 1 horror.,The room grows bitterly cold and you are surrounded by thick black smoke. Take 1 horror. Then place a darkness token in this room.,1,1,
11,Bind Monster 5,2,,Mystical forces twist their way around the creature legs. The creature screapns as the binding takes hold. The monster is dealt 1 damage and is stunned.,"As the spell starts to congeal, the creature violently shakes, ripping its way out of the unseen shackles. Take 1 horror.",1,1,
13,Binding 1,3,"The chant rips from your throat, words burning clear lines on the ground (Lore; 3).",Seeing your power physically manifested is thrilling; become Focused.,You feel as if your own mind is being branded: suffer 1 facedowon Horror.,1,1,
14,Binding 2,3,In your mind's eye you see a blazing wall of white light before you (Lore; 3),You pass through the wall and see the answer; gain 1 Clue.,The remnants of your power call you forward; move I space toward a space containing a Restraint.,1,1,
15,Binding 3,3,"A faint circle appears on the ground before you, flickering with a blue glow (Lore; 3).",The strength of the bonds casts a needed light on your investication; you or another investigator within range gains I Clue.,The fitful light wakes old fears; become Stressed.,1,1,
16,Binding 4,3,You aid the incantation with an intricate weaving of your fingers (Lore; 2),"If you pass, you slowly draw your hands apart, but the bonds you forged still linger; no additional effect.","If you fail, your fingers twist awkwardly and a shockwave of arcane energy escapes the spell; become Stunned.",1,1,
17,Binding 5,3,"Holding the power within your rnind, you speak the words of a lost language (Lore; 3).","The power sinks into the ground, leaving no trace; no additional effect.",The words twist in your mind until you cannot understand what you say; suffer 1 facedown Horror.,1,1,
19,Blood Pact 1,4,,Weariness washes away as his body begins to miraculously heal itself. Heal 1 additional damage.,The skin around the recently healed wounds appears translucent and covered in an unidentified viscous slime. Take 1 horror.,1,1,
20,Blood Pact 2,4,,"You feel the pact's healing energies sinking down into your bones, repairing your body all the way to your core. Discard 1 injury trauma card from any investigator in your room.",You feel as if your brain is on fire. The pain in your head overhelms you. The keeper may draw 1 Trauma card. Then take 1 horror.,1,1,
21,Blood Pact 3,4,,You feel the spell threaten to empty your lungs of air as it emanates from you. Every investigator in the room (not including yourself) heals I additional damage.,For a moment you lose control of your body. Your arms and legs mnove of their own accord. The keeper may move you I space.,1,1,
22,Blood Pact 4,4,,"The wounds have scarred over with a dark, rock-like substance. Heal 2 additional damage, and then take I horror.",The wounds abruptly re-open and blood begins to spray out in a black and red mess. Take 1 damage and 1 horror.,1,1,
25,Feed the Mind 1,5,You feel your mind expanding as the universe spins around you (Lore; 2).,You are able to reconcile your new sense of he cosmos with your existing paradigm; no additional effect.,You realize that everything you have known is wring; suffer 1 facedown Horror.,1,1,
26,Feed the Mind 2,5,Your own memories flash before your eyes (Lore; 2).,You realize that one of your memories is relevant to the case; gain 1 Clue.,You longer on the worst events of your life; suffer 1 facedown Horror.,1,1,
