state,county,population
Alabama,Jefferson,659892
Alabama,Mobile,414659
Alabama,Madison,357560
Alabama,Montgomery,226941
Alabama,Shelby,211261
Alabama,Baldwin,208107
Alabama,Tuscaloosa,206213
Alabama,Lee,159287
Alabama,Morgan,119122
Alabama,Calhoun,115098
Alabama,Houston,104352
Alabama,Etowah,102939
Alabama,Marshall,95145
Alabama,Limestone,93052
Alabama,Lauderdale,92585
Alabama,St. Clair,87306
Alabama,Cullman,82313
Alabama,Elmore,81212
Alabama,Talladega,80565
Alabama,DeKalb,71200
Alabama,Walker,64493
Alabama,Russell,58213
Alabama,Blount,57645
Alabama,Autauga,55200
Alabama,Colbert,54495
Alabama,Jackson,52094
Alabama,Coffee,51288
Alabama,Dale,49255
Alabama,Chilton,43930
Alabama,Tallapoosa,40636
Alabama,Dallas,40029
Alabama,Covington,37351
Alabama,Escambia,37328
Alabama,Chambers,33826
Alabama,Pike,33403
Alabama,Lawrence,33171
Alabama,Franklin,31542
Alabama,Marion,29965
Alabama,Geneva,26491
Alabama,Cherokee,25853
Alabama,Barbour,25782
Alabama,Clarke,24387
Alabama,Winston,23875
Alabama,Randolph,22574
Alabama,Bibb,22527
Alabama,Monroe,21512
Alabama,Pickens,20298
Alabama,Butler,20025
Alabama,Marengo,19538
Alabama,Macon,19054
Alabama,Henry,17124
Alabama,Washington,16643
Alabama,Fayette,16585
Alabama,Cleburne,14938
Alabama,Hale,14887
Alabama,Lamar,13933
Alabama,Crenshaw,13865
Alabama,Clay,13378
Alabama,Choctaw,13075
Alabama,Sumter,12985
Alabama,Conecuh,12514
Alabama,Coosa,10855
Alabama,Wilcox,10809
Alabama,Bullock,10352
Alabama,Lowndes,10236
Alabama,Perry,9486
Alabama,Greene,8426
Alaska,Anchorage Municipality,296112
Alaska,Matanuska-Susitna Borough,103464
Alaska,Fairbanks North Star Borough,99653
Alaska,Kenai Peninsula Borough,58220
Alaska,Juneau City and Borough,32330
Alaska,Bethel Census Area,18040
Alaska,Ketchikan Gateway Borough,13804
Alaska,Kodiak Island Borough,13649
Alaska,Nome Census Area,9925
Alaska,North Slope Borough,9797
Alaska,Valdez-Cordova Census Area,9301
Alaska,Sitka City and Borough,8738
Alaska,Kusilvak Census Area,8198
Alaska,Northwest Arctic Borough,7734
Alaska,Southeast Fairbanks Census Area,6876
Alaska,Prince of Wales-Hyder Census Area,6474
Alaska,Aleutians West Census Area,5750
Alaska,Yukon-Koyukuk Census Area,5415
Alaska,Dillingham Census Area,4975
Alaska,Aleutians East Borough,3425
Alaska,Petersburg Borough,3255
Alaska,Haines Borough,2518
Alaska,Wrangell City and Borough,2484
Alaska,Denali Borough,2232
Alaska,Hoonah-Angoon Census Area,2132
Alaska,Lake and Peninsula Borough,1375
Alaska,Skagway Municipality,1061
Alaska,Bristol Bay Borough,890
Alaska,Yakutat City and Borough,689
Arizona,Maricopa,4253913
Arizona,Pima,1019722
Arizona,Pinal,419721
Arizona,Yavapai,224645
Arizona,Yuma,207829
Arizona,Mohave,206064
Arizona,Coconino,140217
Arizona,Cochise,126279
Arizona,Navajo,108705
Arizona,Apache,71522
Arizona,Gila,53400
Arizona,Santa Cruz,46584
Arizona,Graham,37879
Arizona,La Paz,20701
Arizona,Greenlee,9504
Arkansas,Pulaski,393463
Arkansas,Benton,258980
Arkansas,Washington,228529
Arkansas,Sebastian,127461
Arkansas,Faulkner,122416
Arkansas,Saline,118009
Arkansas,Craighead,105701
Arkansas,Garland,98296
Arkansas,White,78804
Arkansas,Lonoke,72206
Arkansas,Jefferson,70424
Arkansas,Pope,63644
Arkansas,Crawford,62472
Arkansas,Crittenden,49013
Arkansas,Greene,44623
Arkansas,Miller,43759
Arkansas,Mississippi,42831
Arkansas,Baxter,41219
Arkansas,Union,39732
Arkansas,Boone,37288
Arkansas,Independence,37264
Arkansas,Hot Spring,33520
Arkansas,Carroll,27887
Arkansas,St. Francis,26294
Arkansas,Johnson,26291
Arkansas,Cleburne,25230
Arkansas,Ouachita,24106
Arkansas,Poinsett,24054
Arkansas,Columbia,23892
Arkansas,Clark,22385
Arkansas,Hempstead,22018
Arkansas,Logan,21757
Arkansas,Yell,21573
Arkansas,Conway,20906
Arkansas,Ashley,20537
Arkansas,Polk,20163
Arkansas,Phillips,19034
Arkansas,Drew,18502
Arkansas,Arkansas,18124
Arkansas,Grant,18086
Arkansas,Franklin,17780
Arkansas,Randolph,17603
Arkansas,Jackson,17225
Arkansas,Sevier,17193
Arkansas,Sharp,17043
Arkansas,Cross,16998
Arkansas,Van Buren,16684
Arkansas,Lawrence,16669
Arkansas,Marion,16438
Arkansas,Madison,16076
Arkansas,Clay,15061
Arkansas,Lincoln,13695
Arkansas,Izard,13559
Arkansas,Howard,13389
Arkansas,Stone,12446
Arkansas,Little River,12417
Arkansas,Fulton,12139
Arkansas,Desha,11887
Arkansas,Bradley,10948
Arkansas,Chicot,10826
Arkansas,Pike,10808
Arkansas,Scott,10442
Arkansas,Perry,10322
Arkansas,Lee,9398
Arkansas,Montgomery,8993
Arkansas,Nevada,8440
Arkansas,Prairie,8244
Arkansas,Cleveland,8226
Arkansas,Searcy,7923
Arkansas,Newton,7848
Arkansas,Dallas,7432
Arkansas,Monroe,7249
Arkansas,Lafayette,6915
Arkansas,Woodruff,6660
Arkansas,Calhoun,5202
California,Los Angeles,10098052
California,San Diego,3302833
California,Orange,3164182
California,Riverside,2383286
California,San Bernardino,2135413
California,Santa Clara,1922200
California,Alameda,1643700
California,Sacramento,1510023
California,Contra Costa,1133247
