date,county,state,fips,cases,deaths
8/1/2020,Autauga,Alabama,01001,1030,21
8/1/2020,Baldwin,Alabama,01003,3142,22
8/1/2020,Barbour,Alabama,01005,602,5
8/1/2020,Bibb,Alabama,01007,368,2
8/1/2020,Blount,Alabama,01009,792,3
8/1/2020,Bullock,Alabama,01011,443,12
8/1/2020,Butler,Alabama,01013,757,36
8/1/2020,Calhoun,Alabama,01015,1480,9
8/1/2020,Chambers,Alabama,01017,861,38
8/1/2020,Cherokee,Alabama,01019,243,8
8/1/2020,Chilton,Alabama,01021,713,6
8/1/2020,Choctaw,Alabama,01023,276,12
8/1/2020,Clarke,Alabama,01025,499,9
8/1/2020,Clay,Alabama,01027,204,5
8/1/2020,Cleburne,Alabama,01029,113,1
8/1/2020,Coffee,Alabama,01031,720,5
8/1/2020,Colbert,Alabama,01033,1067,11
8/1/2020,Conecuh,Alabama,01035,377,10
8/1/2020,Coosa,Alabama,01037,96,2
8/1/2020,Covington,Alabama,01039,787,21
8/1/2020,Crenshaw,Alabama,01041,294,4
8/1/2020,Cullman,Alabama,01043,1154,11
8/1/2020,Dale,Alabama,01045,781,18
8/1/2020,Dallas,Alabama,01047,1338,23
8/1/2020,DeKalb,Alabama,01049,1684,12
8/1/2020,Elmore,Alabama,01051,1622,37
8/1/2020,Escambia,Alabama,01053,1020,15
8/1/2020,Etowah,Alabama,01055,1938,24
8/1/2020,Fayette,Alabama,01057,175,5
8/1/2020,Franklin,Alabama,01059,1177,20
8/1/2020,Geneva,Alabama,01061,226,1
8/1/2020,Greene,Alabama,01063,242,11
8/1/2020,Hale,Alabama,01065,457,25
8/1/2020,Henry,Alabama,01067,250,4
8/1/2020,Houston,Alabama,01069,1313,14
8/1/2020,Jackson,Alabama,01071,795,5
8/1/2020,Jefferson,Alabama,01073,11680,227
8/1/2020,Lamar,Alabama,01075,196,2
8/1/2020,Lauderdale,Alabama,01077,1036,12
8/1/2020,Lawrence,Alabama,01079,303,0
8/1/2020,Lee,Alabama,01081,2597,43
8/1/2020,Limestone,Alabama,01083,1177,13
