Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Infused Curative,Chirurgeon,2,Poison Use,"At 2nd level, a chirurgeon's extracts of cure spells automatically act as infusions, and can be used by non-alchemists. When a chirurgeon prepares his extracts, he may choose to render any or all of his infused curatives inert and prepare other extracts to replace them (unlike infusions, which continue to occupy the alchemist's daily extract slots until consumed or used). This ability",Alchemist,,,,
Anaesthetic,Chirurgeon,5,Poison Resistance 4,"At 5th level, a chirurgeon learns how to supplement uses of the Heal skill with pain-killing drugs. He gains Skill Focus (Heal) as a bonus feat. Any use of the Heal skill that has a risk of harming the patient (such as extracting a barb) only deals the minimum damage when performed by a chirurgeon. This ability",Alchemist,,,,
Power Over Death,Chirurgeon,10,Poison Immunity,"At 10th level, a chirurgeon adds breath of life to his formula book as a 4th-level extract. His infused curative ability applies to this extract. This ability",Alchemist,,,,
Bomb,Clone Master,1,The Standard Alchemist Bomb Class Feature,"A clone master's bombs deal damage one die step lower than normal (regular bombs deal d4s, concussive bombs deal 1d3s, and so on). This otherwise functions as and",Alchemist,,,,
Lesser Simulacrum,Clone Master,7,,"At 7th level, a clone master adds lesser simulacrum to his formula book as a 3rd-level extract.",Alchemist,,,,
Rebirth,Clone Master,8,"Poison Resistance 6,Poison Immunity","At 8th level, a clone master can prepare a clone of himself that awakens if he is slain. Creating the clone costs 5,000 gp, takes 1 week of work, and requires 3 additional weeks for the clone to grow to maturity. If he dies, the clone awakens as if the alchemist had used the clone spell on himself. He can have one inert of himself at a time. Unused clones created by a clone master do not rot. This ability",Alchemist,,,,
Simulacrum,Clone Master,13,,"At 13th level, a clone master adds simulacrum to his formula book as a 5th-level extract.",Alchemist,,,,
Clone,Clone Master,16,,"At 16th level, a clone master adds clone to his formula book as a 6th-level extract.",Alchemist,,,,
Breath Mastery,Internal Alchemist,1,Throw Anything,"At 1st level, the internal alchemist can control his breath and the flow of vital energy within his body. Without preparation, he can hold his breath for a number of minutes equal to his Constitution score (after this, he must begin making Constitution checks or risk suffocation); by spending a full-round action preparing himself, he can increase this duration to 1 hour per point of Constitution. The alchemist can survive twice as long as normal without food or water before he starts to take penalties. He can put himself into a state of suspended animation as a move action, and is then unconscious and appears completely dead; he awakens at a preset time or in response to a condition set by him when he enters this state. This ability",Alchemist,,,,
Bonus Feats,Internal Alchemist,1,,"An internal alchemist can select Alertness, Extra Ki, Great Fortitude, Improved Critical (unarmed strike), Improved Initiative, Improved Unarmed Strike, Iron Will, Lighting Reflexes, Stunning Fist, or Weapon Focus (unarmed strike) in place of an alchemical discovery.",Alchemist,,,,
Disease Resistance,Internal Alchemist,3,Swift Alchemy,"At 3rd level, an internal alchemist gains a bonus on all saving throws against disease equal to his alchemist class bonus against poison. When he gains the poison immunity alchemist class ability, he becomes immune to disease as well. This ability",Alchemist,,,,
